Unit_ID,Region,Equipment_Type,Equipment_Quantity,Maintenance_Status,Fuel_Consumption_Litres,Supply_Requests,Delivery_Date,Delivery_Status,Personnel_Count,Operational_Readiness,Monthly_Cost_INR,Fuel_Consumption_Litres_was_missing,Personnel_Count_was_missing,Maintenance_Status_was_missing,Delivery_Status_was_missing,Fuel_Consumption_Litres_outlier,Monthly_Cost_INR_outlier,Delivery_Month,Cost_Per_Personnel,Readiness_Band
Unit-127,Eastern Command,Medical Unit,207,Awaiting Parts,4777.3,23,2026-01-21,Unknown,252.0,0.68,877456.83,False,False,False,True,False,False,2026-01,3481.97,Moderate
Unit-121,Eastern Command,Artillery Support,147,Awaiting Parts,496.9,39,2026-07-28,In Transit,764.0,0.97,852278.97,False,False,False,False,False,False,2026-07,1115.55,High
Unit-127,Central Command,Transport Vehicle,101,Under Maintenance,3749.5,17,2026-06-10,In Transit,577.0,0.42,1393112.64,False,False,False,False,False,False,2026-06,2414.41,Low
Unit-103,Western Command,Medical Unit,143,Awaiting Parts,330.8,9,2026-05-05,Delayed,405.0,0.51,798436.42,False,False,False,False,False,False,2026-05,1971.45,Low
Unit-103,Eastern Command,Artillery Support,102,Operational,2481.2,14,2026-04-08,Delivered,471.0,0.92,969147.93,True,False,False,False,False,False,2026-04,2057.64,High
Unit-127,Central Command,Transport Vehicle,200,Decommissioned,604.7,34,2026-05-12,In Transit,743.0,0.41,1197236.76,False,False,False,False,False,False,2026-05,1611.35,Low
Unit-121,Southern Command,Transport Vehicle,81,Operational,2481.2,30,2026-03-27,Delivered,274.0,0.68,2466674.39,True,False,False,False,False,False,2026-03,9002.46,Moderate
Unit-103,Western Command,Medical Unit,165,Decommissioned,263.5,12,2026-04-11,Cancelled,220.0,0.62,1755650.81,False,False,False,False,False,False,2026-04,7980.23,Moderate
Unit-124,Eastern Command,Communication Equipment,25,Decommissioned,1735.1,23,2026-01-30,In Transit,756.0,0.58,656213.85,False,False,False,False,False,False,2026-01,868.01,Low
Unit-100,Western Command,Medical Unit,42,Operational,2733.9,23,2026-04-08,Cancelled,22.0,0.89,1729825.09,False,False,False,False,False,False,2026-04,78628.41,High
Unit-100,Western Command,Engineering Equipment,11,Decommissioned,3218.3,28,2026-01-03,In Transit,551.0,0.48,1072135.36,False,False,False,False,False,False,2026-01,1945.8,Low
Unit-103,Western Command,Communication Equipment,75,Decommissioned,1772.3,31,2026-01-24,Cancelled,306.0,0.92,1514553.65,False,False,False,False,False,False,2026-01,4949.52,High
Unit-118,Central Command,Engineering Equipment,214,Operational,2952.1,28,2026-03-09,Delayed,471.0,0.63,1543404.95,False,False,False,False,False,False,2026-03,3276.87,Moderate
Unit-112,Eastern Command,Medical Unit,179,Operational,4579.5,6,2026-02-21,Delivered,391.0,0.88,1992953.13,False,False,False,False,False,False,2026-02,5097.07,High
Unit-103,Southern Command,Engineering Equipment,204,Operational,630.5,6,2026-04-02,Delayed,502.0,0.45,2198037.33,False,False,False,False,False,False,2026-04,4378.56,Low
Unit-100,Western Command,Artillery Support,115,Awaiting Parts,4136.4,30,2026-04-24,Delivered,259.0,0.51,2029382.66,False,False,False,False,False,False,2026-04,7835.45,Low
Unit-103,Central Command,Engineering Equipment,90,Operational,760.7,4,2026-07-09,Cancelled,261.0,0.98,2319663.25,False,False,False,False,False,False,2026-07,8887.6,High
Unit-121,Central Command,Artillery Support,73,Decommissioned,3009.4,12,2026-03-21,In Transit,42.0,0.46,903771.6,False,False,False,False,False,False,2026-03,21518.37,Low
Unit-121,Southern Command,Communication Equipment,160,Operational,3313.4,23,2026-02-09,Cancelled,78.0,0.45,1433243.78,False,False,False,False,False,False,2026-02,18374.92,Low
Unit-127,Eastern Command,Medical Unit,243,Operational,3398.6,33,2026-02-28,Cancelled,403.0,0.7,1638914.02,False,False,False,False,False,False,2026-02,4066.78,Moderate
Unit-115,Western Command,Communication Equipment,153,Unknown,97.6,39,2026-02-10,Delayed,511.0,0.91,810928.25,False,False,True,False,False,False,2026-02,1586.94,High
Unit-100,Southern Command,Transport Vehicle,156,Under Maintenance,2182.0,19,2026-02-09,Delivered,585.0,0.59,1613871.53,False,False,False,False,False,False,2026-02,2758.75,Low
Unit-112,Central Command,Medical Unit,180,Under Maintenance,3310.4,20,2026-03-16,Delayed,753.0,0.69,1560641.27,False,False,False,False,False,False,2026-03,2072.56,Moderate
Unit-121,Central Command,Transport Vehicle,174,Awaiting Parts,4106.9,19,2026-03-15,Delivered,366.0,0.51,695069.9,False,False,False,False,False,False,2026-03,1899.1,Low
Unit-109,Eastern Command,Medical Unit,50,Unknown,2481.2,30,2026-01-08,Cancelled,273.0,0.89,1928336.61,True,False,True,False,False,False,2026-01,7063.5,High
Unit-115,Eastern Command,Medical Unit,60,Under Maintenance,1528.3,40,2026-03-31,Cancelled,606.0,0.61,1756962.93,False,False,False,False,False,False,2026-03,2899.28,Moderate
Unit-124,Western Command,Medical Unit,5,Operational,1676.0,20,2026-02-28,Delivered,448.0,0.51,276824.81,False,False,False,False,False,False,2026-02,617.91,Low
Unit-124,Eastern Command,Engineering Equipment,48,Decommissioned,219.5,1,2026-04-21,Delivered,529.0,0.74,3537507.31875,False,False,False,False,False,True,2026-04,6687.16,Moderate
Unit-109,Northern Command,Engineering Equipment,6,Awaiting Parts,3560.9,15,2026-03-01,Delayed,353.0,0.86,1624638.89,False,False,False,False,False,False,2026-03,4602.38,High
Unit-121,Southern Command,Medical Unit,183,Decommissioned,1166.4,20,2026-06-25,In Transit,303.0,0.41,2103967.17,False,False,False,False,False,False,2026-06,6943.79,Low
Unit-106,Western Command,Communication Equipment,9,Operational,849.0,16,2026-01-02,Delivered,237.0,0.61,256859.14,False,False,False,False,False,False,2026-01,1083.79,Moderate
Unit-106,Eastern Command,Communication Equipment,124,Decommissioned,147.3,26,2026-05-13,Delayed,690.0,0.6,76048.66,False,False,False,False,False,False,2026-05,110.22,Moderate
Unit-112,Central Command,Transport Vehicle,203,Decommissioned,2325.6,5,2026-05-18,Delivered,258.0,0.64,1326547.05,False,False,False,False,False,False,2026-05,5141.66,Moderate
Unit-103,Eastern Command,Medical Unit,246,Decommissioned,1740.0,9,2026-02-16,In Transit,27.0,0.47,2342632.87,False,False,False,False,False,False,2026-02,86764.18,Low
Unit-109,Central Command,Engineering Equipment,222,Operational,1023.7,3,2026-02-03,Delivered,424.5,0.44,2050095.99,False,True,False,False,False,False,2026-02,4829.44,Low
Unit-115,Northern Command,Medical Unit,31,Awaiting Parts,3345.7,24,2026-01-14,In Transit,463.0,0.59,1754358.75,False,False,False,False,False,False,2026-01,3789.11,Low
Unit-118,Central Command,Communication Equipment,64,Decommissioned,1469.3,3,2026-04-06,Delivered,147.0,0.86,1497653.15,False,False,False,False,False,False,2026-04,10188.12,High
Unit-100,Central Command,Transport Vehicle,103,Under Maintenance,841.8,31,2026-07-07,Cancelled,180.0,0.71,427517.17,False,False,False,False,False,False,2026-07,2375.1,Moderate
Unit-112,Western Command,Medical Unit,75,Under Maintenance,3567.3,37,2026-06-06,Cancelled,765.0,0.67,2201251.02,False,False,False,False,False,False,2026-06,2877.45,Moderate
Unit-103,Central Command,Transport Vehicle,107,Operational,217.6,28,2026-06-19,Cancelled,747.0,0.86,300721.55,False,False,False,False,False,False,2026-06,402.57,High
Unit-106,Eastern Command,Artillery Support,241,Under Maintenance,2516.7,7,2026-06-12,Cancelled,733.0,0.74,306166.87,False,False,False,False,False,False,2026-06,417.69,Moderate
Unit-124,Western Command,Medical Unit,107,Awaiting Parts,3357.8,8,2026-06-22,In Transit,550.0,0.46,2147844.12,False,False,False,False,False,False,2026-06,3905.17,Low
Unit-106,Northern Command,Communication Equipment,190,Operational,1479.2,24,2026-05-20,In Transit,507.0,0.98,1473445.86,False,False,False,False,False,False,2026-05,2906.2,High
Unit-109,Eastern Command,Medical Unit,168,Operational,3009.4,25,2026-03-19,Delivered,767.0,0.44,85616.42,False,False,False,False,False,False,2026-03,111.63,Low
Unit-127,Eastern Command,Communication Equipment,44,Awaiting Parts,1624.5,4,2026-07-31,Delayed,133.0,0.79,772555.34,False,False,False,False,False,False,2026-07,5808.69,Moderate
Unit-124,Western Command,Communication Equipment,193,Under Maintenance,1274.2,4,2026-06-16,Cancelled,585.0,0.73,443696.35,False,False,False,False,False,False,2026-06,758.46,Moderate
Unit-121,Southern Command,Engineering Equipment,30,Under Maintenance,943.5,12,2026-05-21,Delivered,246.0,0.92,671049.44,False,False,False,False,False,False,2026-05,2727.84,High
Unit-103,Western Command,Transport Vehicle,217,Awaiting Parts,3943.8,5,2026-06-16,In Transit,616.0,0.5,2416086.78,False,False,False,False,False,False,2026-06,3922.22,Low
Unit-121,Western Command,Communication Equipment,222,Under Maintenance,4974.4,19,2026-06-25,Delivered,175.0,0.98,73092.82,False,False,False,False,False,False,2026-06,417.67,High
Unit-115,Central Command,Transport Vehicle,19,Under Maintenance,3089.6,9,2026-06-12,In Transit,636.0,0.62,350963.47,False,False,False,False,False,False,2026-06,551.83,Moderate
Unit-124,Central Command,Communication Equipment,27,Decommissioned,534.9,6,2026-05-08,Cancelled,536.0,0.76,333699.99,False,False,False,False,False,False,2026-05,622.57,Moderate
Unit-121,Eastern Command,Engineering Equipment,42,Decommissioned,2481.2,5,2026-06-24,Delivered,139.0,0.53,678541.07,True,False,False,False,False,False,2026-06,4881.59,Low
