Unit_ID,Region,Equipment_Type,Equipment_Quantity,Maintenance_Status,Fuel_Consumption_Litres,Supply_Requests,Delivery_Date,Delivery_Status,Personnel_Count,Operational_Readiness,Monthly_Cost_INR
Unit-127,Eastern Command,Medical  Unit,207,Awaiting Parts,4777.3,23,2026-01-21,,252,0.68,877456.83
Unit-121,Eastern Command,Artillery Support,147,Awaiting Parts,496.9,39,2026-07-28,In Transit,764,0.97,852278.97
Unit-127,Central Command,Transport Vehicle,101,Under Maintenance,3749.5,17,2026-06-10,In Transit,577,0.42,1393112.64
Unit-103,Western Command,Medical Unit,143,Awaiting Parts,330.8,9,05/05/2026,Delayed,405,0.51,798436.42
Unit-103,Eastern Command,Artillery Support,102,Operational,,14,08-04-2026,Delivered,471,0.92,969147.93
Unit-127,Central Command,Transport Vehicle,200,Decommissioned,604.7,34,12-05-2026,In Transit,743,0.41,1197236.76
Unit-121,Southern Command,transport vehicle,81,Operational,,30,2026-03-27,Delivered,274,0.68,2466674.39
Unit-103,Western Command,Medical  Unit,165,Decommissioned,263.5,12,11-04-2026,Cancelled,220,0.62,1755650.81
Unit-124,Eastern Command,Communication Equipment,25,Decommissioned,1735.1,23,30-01-2026,In Transit,756,0.58,656213.85
Unit-100,Western Command,Medical  Unit,42,Operational,2733.9,23,2026-04-08,Cancelled,22,0.89,1729825.09
Unit-100,Western Command,Engineering Equipment,11,Decommissioned,3218.3,28,2026-01-03,In Transit,551,0.48,1072135.36
Unit-103,Western Command,Communication Equipment,75,Decommissioned,1772.3,31,2026-01-24,Cancelled,306,0.92,1514553.65
Unit-118,Central Command,Engineering Equipment,214,Operational,2952.1,28,2026-03-09,Delayed,471,0.63,1543404.95
Unit-112,Eastern Command,Medical Unit,179,Operational,4579.5,6,21-02-2026,Delivered,391,0.88,1992953.13
Unit-103,Southern Command,Engineering Equipment,204,Operational,630.5,6,02-04-2026,Delayed,502,0.45,2198037.33
Unit-100,Western Command,Artillery Support,115,Awaiting Parts,4136.4,30,24-04-2026,Delivered,259,0.51,2029382.66
Unit-103,Central Command,Engineering Equipment,90,Operational,760.7,4,09-07-2026,Cancelled,261,0.98,2319663.25
Unit-121,Central Command,Artillery Support,73,Decommissioned,3009.4,12,21-03-2026,In Transit,42,0.46,903771.6
Unit-121,Southern Command,COMMUNICATION EQUIPMENT,160,Operational,3313.4,23,09-02-2026,Cancelled,78,0.45,1433243.78
Unit-127,Eastern Command,Medical  Unit,243,Operational,3398.6,33,2026-02-28,Cancelled,403,0.7,1638914.02
Unit-115,Western Command,COMMUNICATION EQUIPMENT,153,,97.6,39,10-02-2026,Delayed,511,0.91,810928.25
Unit-100,Southern Command,Transport Vehicle,156,Under Maintenance,2182.0,19,09-02-2026,Delivered,585,0.59,1613871.53
Unit-112,Central Command,Medical Unit,180,Under Maintenance,3310.4,20,16/03/2026,Delayed,753,0.69,1560641.27
Unit-121,Central Command,transport vehicle,174,Awaiting Parts,4106.9,19,15/03/2026,Delivered,366,0.51,695069.9
Unit-109,Eastern Command,Medical  Unit,50,,,30,08/01/2026,Cancelled,273,0.89,1928336.61
Unit-115,Eastern Command,Medical  Unit,60,Under Maintenance,1528.3,40,31/03/2026,Cancelled,606,0.61,1756962.93
Unit-124,Western Command,Medical Unit,5,Operational,1676.0,20,2026-02-28,Delivered,448,0.51,276824.81
Unit-124,Eastern Command,Engineering Equipment,48,Decommissioned,219.5,1,21/04/2026,Delivered,529,0.74,31614285.24
Unit-109,Northern Command,Engineering Equipment,6,Awaiting Parts,3560.9,15,01-03-2026,Delayed,353,0.86,1624638.89
Unit-121,Southern Command,Medical Unit,183,Decommissioned,1166.4,20,2026-06-25,In Transit,303,0.41,2103967.17
Unit-106,Western Command,Communication Equipment,9,Operational,849.0,16,02/01/2026,Delivered,237,0.61,256859.14
Unit-106,Eastern Command,COMMUNICATION EQUIPMENT,124,Decommissioned,147.3,26,13/05/2026,Delayed,690,0.6,76048.66
Unit-112,Central Command,Transport Vehicle,203,Decommissioned,2325.6,5,18-05-2026,Delivered,258,0.64,1326547.05
Unit-103,Eastern Command,Medical  Unit,246,Decommissioned,1740.0,9,16/02/2026,In Transit,27,0.47,2342632.87
Unit-109,Central Command,Engineering Equipment,222,Operational,1023.7,3,03/02/2026,Delivered,,0.44,2050095.99
Unit-115,Northern Command,Medical  Unit,31,Awaiting Parts,3345.7,24,14-01-2026,In Transit,463,0.59,1754358.75
Unit-118,Central Command,Communication Equipment,64,Decommissioned,1469.3,3,06/04/2026,Delivered,147,0.86,1497653.15
Unit-100,Central Command,transport vehicle,103,Under Maintenance,841.8,31,07/07/2026,Cancelled,180,0.71,427517.17
Unit-112,Western Command,Medical  Unit,75,Under Maintenance,3567.3,37,06-06-2026,Cancelled,765,0.67,2201251.02
Unit-103,Central Command,Transport Vehicle,107,Operational,217.6,28,19-06-2026,Cancelled,747,0.86,300721.55
Unit-106,Eastern Command,Artillery Support,241,Under Maintenance,2516.7,7,2026-06-12,Cancelled,733,0.74,306166.87
Unit-124,Western Command,Medical Unit,107,Awaiting Parts,3357.8,8,2026-06-22,In Transit,550,0.46,2147844.12
Unit-106,Northern Command,Communication Equipment,190,Operational,1479.2,24,20-05-2026,In Transit,507,0.98,1473445.86
Unit-109,Eastern Command,Medical Unit,168,Operational,3009.4,25,2026-03-19,Delivered,767,0.44,85616.42
Unit-127,Eastern Command,Communication Equipment,44,Awaiting Parts,1624.5,4,31-07-2026,Delayed,133,0.79,772555.34
Unit-124,Western Command,COMMUNICATION EQUIPMENT,193,Under Maintenance,1274.2,4,2026-06-16,Cancelled,585,0.73,443696.35
Unit-121,Southern Command,Engineering Equipment,30,Under Maintenance,943.5,12,21/05/2026,Delivered,246,0.92,671049.44
Unit-103,Western Command,Transport Vehicle,217,Awaiting Parts,3943.8,5,16/06/2026,In Transit,616,0.5,2416086.78
Unit-121,Western Command,COMMUNICATION EQUIPMENT,222,Under Maintenance,4974.4,19,2026-06-25,Delivered,175,0.98,73092.82
Unit-115,Central Command,Transport Vehicle,19,Under Maintenance,3089.6,9,12-06-2026,In Transit,636,0.62,350963.47
Unit-124,Central Command,COMMUNICATION EQUIPMENT,27,Decommissioned,534.9,6,08/05/2026,Cancelled,536,0.76,333699.99
Unit-121,Eastern Command,Engineering Equipment,42,Decommissioned,,5,24-06-2026,Delivered,139,0.53,678541.07
Unit-100,Eastern Command,Engineering Equipment,86,Under Maintenance,1340.3,6,23-03-2026,Cancelled,136,0.49,1307971.24
